,No.,Short Citation (Study id.),Study no.,Study id. + no.,Consonant/Vowel,Consonant/Vowel_short,Phonetic feature,C/V + feature,Semantic dimension,Semantic feature
0,1,"Sapir, 1929",1,"Sapir, 1929: 1",vowel,V,open front,V: open front,size,big
1,2,"Sapir, 1929",1,"Sapir, 1929: 1",vowel,V,close front,V: close front,size,small
2,3,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,shape,sharp
3,4,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,shape,round
4,5,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,speed,slow
5,6,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,speed,fast
6,7,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,happiness,happy
7,8,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,happiness,sad
8,9,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,excitement,exciting
9,10,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,excitement,calming
10,11,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,reality,realistic
11,12,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,reality,fantastical
12,13,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,activity,passive
13,14,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,activity,active
14,15,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,weight,heavy
15,16,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,weight,light
16,17,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,gender,masculine
17,18,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,gender,feminine
18,19,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,front,V: front,size,small
19,20,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",vowel,V,back,V: back,size,big
20,21,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",consonant,C,sonorant,C: sonorant,activity,passive
21,22,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",consonant,C,sonorant,C: sonorant,potency,impotent
22,23,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",consonant,C,sonorant,C: sonorant,novelty,ordinary
23,24,"Sidhu, Vigliocco, and Pexman, 2022",1,"Sidhu, Vigliocco, and Pexman, 2022: 1",consonant,C,voiced fricative,C: voiced fricative,activity,active
